,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
12028,3042 VININGS FERRY DR SE,"3042 VININGS FERRY DR SE Cobb County, GA",2018-10-09,"$285,000.00",285000,2068,137.81431334622823,"https://www.google.com/maps/search/3042%20VININGS%20FERRY%20DR%20SE%20Cobb%20County,%20GA",33.8614833,-84.4650048
12029,2905 SEVEN PINES LN UNIT 3,"2905 SEVEN PINES LN UNIT 3 Cobb County, GA",2018-10-09,"$147,000.00",147000,980,150.0,"https://www.google.com/maps/search/2905%20SEVEN%20PINES%20LN%20UNIT%203%20Cobb%20County,%20GA",33.8704168,-84.4708966
12030,5150 VININGS ESTATES WAY,"5150 VININGS ESTATES WAY Cobb County, GA",2018-10-09,"$490,000.00",490000,3233,151.56201670275286,"https://www.google.com/maps/search/5150%20VININGS%20ESTATES%20WAY%20Cobb%20County,%20GA",33.8273836,-84.5348335
12031,2252 PIKEWOOD LN,"2252 PIKEWOOD LN Cobb County, GA",2018-10-09,"$311,800.00",311800,3728,83.63733905579399,"https://www.google.com/maps/search/2252%20PIKEWOOD%20LN%20Cobb%20County,%20GA",33.8515947,-84.6331355
12032,567 LAKEVIEW TER,"567 LAKEVIEW TER Cobb County, GA",2018-10-09,"$370,000.00",370000,3000,123.33333333333331,"https://www.google.com/maps/search/567%20LAKEVIEW%20TER%20Cobb%20County,%20GA",33.8341627,-84.5409552
12033,3022 LANDMARK DR,"3022 LANDMARK DR Cobb County, GA",2018-10-09,"$132,500.00",132500,1354,97.85819793205316,"https://www.google.com/maps/search/3022%20LANDMARK%20DR%20Cobb%20County,%20GA",33.8790926,-84.5562673
12034,118 MCLAREN GATES DR,"118 MCLAREN GATES DR Cobb County, GA",2018-10-09,"$343,000.00",343000,2364,145.09306260575295,"https://www.google.com/maps/search/118%20MCLAREN%20GATES%20DR%20Cobb%20County,%20GA",33.966315,-84.557165
12035,2860 CANTON HILLS DR,"2860 CANTON HILLS DR Cobb County, GA",2018-10-09,"$280,750.00",280750,1902,147.60778128286017,"https://www.google.com/maps/search/2860%20CANTON%20HILLS%20DR%20Cobb%20County,%20GA",33.9968993,-84.4653813
12036,782 WINDCROFT CIR,"782 WINDCROFT CIR Cobb County, GA",2018-10-09,"$171,000.00",171000,1131,151.19363395225463,"https://www.google.com/maps/search/782%20WINDCROFT%20CIR%20Cobb%20County,%20GA",34.0698538,-84.651954
12037,222 ROCKIN HILL DR,"222 ROCKIN HILL DR Cobb County, GA",2018-10-09,"$120,000.00",120000,925,129.72972972972974,"https://www.google.com/maps/search/222%20ROCKIN%20HILL%20DR%20Cobb%20County,%20GA",33.8927649,-84.5608111
