,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf
13873,3520 TEN OAKS CT,"3520 TEN OAKS CT Cobb County, GA",2018-01-05,"$80,000.00",80000,1376,58.13953488372093
14023,341 SOMERSET LN SE,"341 SOMERSET LN SE Cobb County, GA",2018-01-05,"$415,000.00",415000,2524,164.4215530903328
14021,1919 BURKWOOD CT,"1919 BURKWOOD CT Cobb County, GA",2018-01-05,"$145,000.00",145000,1328,109.1867469879518
14013,205 AVENTINE LN,"205 AVENTINE LN Cobb County, GA",2018-01-05,"$264,900.00",264900,1572,168.5114503816794
13991,3364 GILLEY DR,"3364 GILLEY DR Cobb County, GA",2018-01-05,"$307,000.00",307000,2394,128.23725981620717
13983,509 TOWNESIDE LN,"509 TOWNESIDE LN Cobb County, GA",2018-01-05,"$480,000.00",480000,4343,110.52268017499425
13775,2920 LASSITER MANOR DR,"2920 LASSITER MANOR DR Cobb County, GA",2018-01-05,"$775,000.00",775000,4380,176.9406392694064
13919,1771 HAMMOND WOODS CIR,"1771 HAMMOND WOODS CIR Cobb County, GA",2018-01-05,"$189,900.00",189900,1592,119.28391959798995
13912,2700 PACES FERRY RD UNIT 205,"2700 PACES FERRY RD UNIT 205 Cobb County, GA",2018-01-05,"$875,000.00",875000,2422,361.271676300578
14039,4505 ASHMORE CIR,"4505 ASHMORE CIR Cobb County, GA",2018-01-05,"$376,000.00",376000,2372,158.51602023608768
13925,4803 SCHOOL ST,"4803 SCHOOL ST Cobb County, GA",2018-01-05,"$126,000.00",126000,912,138.1578947368421
15381,25 LATIMER LN,"25 LATIMER LN Cobb County, GA",2018-01-05,"$173,230.00",173230,2477,69.93540573274122
14176,2300 ENGINEERS DR,"2300 ENGINEERS DR Cobb County, GA",2018-01-05,"$275,000.00",275000,1513,181.75809649702578
15407,4454 REDAN CT,"4454 REDAN CT Cobb County, GA",2018-01-05,"$435,000.00",435000,3153,137.9638439581351
15406,2950 MOUNT WILKINSON PKWY UNIT 615,"2950 MOUNT WILKINSON PKWY UNIT 615 Cobb County, GA",2018-01-05,"$650,000.00",650000,1829,355.3854565336249
15405,1834 BRACKENDALE RD,"1834 BRACKENDALE RD Cobb County, GA",2018-01-05,"$355,000.00",355000,3906,90.8858166922683
15404,3295 DUNN ST,"3295 DUNN ST Cobb County, GA",2018-01-05,"$293,000.00",293000,1734,168.97347174163784
15403,517 EMBRY LN,"517 EMBRY LN Cobb County, GA",2018-01-05,"$185,000.00",185000,1848,100.10822510822511
15402,3303 MARS HILL RD,"3303 MARS HILL RD Cobb County, GA",2018-01-05,"$656,000.00",656000,4082,160.70553650171485
15401,4295 BRIGHTON WAY,"4295 BRIGHTON WAY Cobb County, GA",2018-01-05,"$239,000.00",239000,2040,117.15686274509804
15400,326 ROSWELL ST SUITE/UNIT 504/5G,"326 ROSWELL ST SUITE/UNIT 504/5G Cobb County, GA",2018-01-05,"$215,000.00",215000,1158,185.66493955094992
15399,31 JEKYLL DR UNIT 8,"31 JEKYLL DR UNIT 8 Cobb County, GA",2018-01-05,"$177,900.00",177900,1624,109.54433497536945
15398,3247 COUNTRYSIDE DR SE,"3247 COUNTRYSIDE DR SE Cobb County, GA",2018-01-05,"$305,000.00",305000,2164,140.9426987060998
15397,4272 LAUREL BROOK DR,"4272 LAUREL BROOK DR Cobb County, GA",2018-01-05,"$305,000.00",305000,1647,185.1851851851852
15396,4736 WOODLAND BROOK CT,"4736 WOODLAND BROOK CT Cobb County, GA",2018-01-05,"$392,000.00",392000,2747,142.70112850382236
14170,476 DELK ST,"476 DELK ST Cobb County, GA",2018-01-05,"$105,000.00",105000,1526,68.80733944954129
15395,3355 SOMERSET TRCE,"3355 SOMERSET TRCE Cobb County, GA",2018-01-05,"$389,900.00",389900,2277,171.2340799297321
15392,1839 BILL MURDOCK RD,"1839 BILL MURDOCK RD Cobb County, GA",2018-01-05,"$285,700.00",285700,1610,177.45341614906832
15391,3951 GOLFLINKS DR,"3951 GOLFLINKS DR Cobb County, GA",2018-01-05,"$277,000.00",277000,2577,107.48932867675592
15390,4196 WINTHROP DWNS,"4196 WINTHROP DWNS Cobb County, GA",2018-01-05,"$273,888.00",273888,2677,102.31154277175943
15389,3115 DELACORTE DR,"3115 DELACORTE DR Cobb County, GA",2018-01-05,"$290,000.00",290000,2797,103.68251698248123
15388,1362 BRODY DR,"1362 BRODY DR Cobb County, GA",2018-01-05,"$365,000.00",365000,2992,121.99197860962566
15387,3617 BELGRAY DR,"3617 BELGRAY DR Cobb County, GA",2018-01-05,"$450,000.00",450000,4064,110.72834645669292
15386,4053 SILVER FIR CT,"4053 SILVER FIR CT Cobb County, GA",2018-01-05,"$268,000.00",268000,2503,107.07151418298042
15385,134 NORTH VIEW LN,"134 NORTH VIEW LN Cobb County, GA",2018-01-05,"$168,400.00",168400,1198,140.567612687813
15384,5080 ALABAMA RD,"5080 ALABAMA RD Cobb County, GA",2018-01-05,"$205,000.00",205000,1460,140.41095890410958
15383,504 GARDENIA LN,"504 GARDENIA LN Cobb County, GA",2018-01-05,"$235,000.00",235000,2260,103.98230088495575
15382,2070 ECTOR OVRLK,"2070 ECTOR OVRLK Cobb County, GA",2018-01-05,"$385,000.00",385000,3298,116.73741661613099
15380,151 OLD BEE TREE DR,"151 OLD BEE TREE DR Cobb County, GA",2018-01-05,"$195,000.00",195000,1345,144.9814126394052
15394,1221 WYNFORD CLNY,"1221 WYNFORD CLNY Cobb County, GA",2018-01-05,"$235,000.00",235000,1880,125.0
15393,906 NOLANBY BAY NW,"906 NOLANBY BAY NW Cobb County, GA",2018-01-05,"$418,495.00",418495,3108,134.6509009009009
13727,2526 ZACHARY WOODS DR,"2526 ZACHARY WOODS DR Cobb County, GA",2018-01-05,"$227,500.00",227500,2312,98.39965397923875
13740,4448 STERLING POINTE DR,"4448 STERLING POINTE DR Cobb County, GA",2018-01-05,"$484,000.00",484000,4206,115.07370423204945
13833,2814 QUINCE LN,"2814 QUINCE LN Cobb County, GA",2018-01-08,"$238,000.00",238000,1698,140.16489988221437
15377,4955 IVY RIDGE DR SE UNIT 27,"4955 IVY RIDGE DR SE UNIT 27 Cobb County, GA",2018-01-08,"$260,000.00",260000,1423,182.71257905832746
15376,2235 RUNNYMEADE RDG,"2235 RUNNYMEADE RDG Cobb County, GA",2018-01-08,"$136,000.00",136000,1446,94.05255878284925
14118,4533 VININGS CENTRAL TRCE UNIT 84,"4533 VININGS CENTRAL TRCE UNIT 84 Cobb County, GA",2018-01-08,"$153,000.00",153000,1350,113.33333333333333
15375,3627 LAKESHORE DR SW,"3627 LAKESHORE DR SW Cobb County, GA",2018-01-08,"$85,000.00",85000,1321,64.3451930355791
14141,5758 DOGWOOD CIR SW,"5758 DOGWOOD CIR SW Cobb County, GA",2018-01-08,"$62,500.00",62500,2025,30.864197530864196
15374,704 MADISON LN,"704 MADISON LN Cobb County, GA",2018-01-08,"$185,000.00",185000,1403,131.86029935851747
15373,1205 W BOOTH ROAD EXT,"1205 W BOOTH ROAD EXT Cobb County, GA",2018-01-08,"$100,000.00",100000,1184,84.45945945945945
15372,2049 EVERGREEN DR SW,"2049 EVERGREEN DR SW Cobb County, GA",2018-01-08,"$175,000.00",175000,2475,70.70707070707071
14081,3214 NEW RUTLEDGE RD,"3214 NEW RUTLEDGE RD Cobb County, GA",2018-01-08,"$200,500.00",200500,1248,160.65705128205127
15371,1192 HEMBREE LN SW,"1192 HEMBREE LN SW Cobb County, GA",2018-01-08,"$145,000.00",145000,1462,99.17920656634747
15370,1940 OAK RIDGE CT,"1940 OAK RIDGE CT Cobb County, GA",2018-01-08,"$245,000.00",245000,1474,166.21438263229308
14182,203 RIPPLING DR,"203 RIPPLING DR Cobb County, GA",2018-01-08,"$557,250.00",557250,3649,152.71307207454097
15378,4526 COLUMNS DR,"4526 COLUMNS DR Cobb County, GA",2018-01-08,"$1,077,500.00",1077500,4847,222.30245512688262
